id;product_id;quantity;unit_price
1;13631;4501;21557.96
2;22969;15187;21603.11
3;21607;15131;16427.4
4;10156;28770;26307.54
5;26301;32019;28064.4
6;14156;3014;12071.12
7;17996;10230;27917.18
8;9007;6002;23772.56
9;8145;29324;9089.05
10;9120;13541;30514.69
11;5552;27473;12584.05
12;19310;6165;13066.06
13;17682;24530;11550.39
14;8998;26438;27581.38
15;25223;12293;14462.84
16;11613;18205;30362.79
17;30253;1842;21977.35
18;17494;29680;22917.29
19;2574;1916;986.46
20;15161;438;21774.44
21;10254;4688;23410.23
22;27666;137;17160.04
23;12327;6030;8691.84
24;21938;9068;25863.15
25;8963;27886;11375.1
26;1822;15754;14242.12
27;32192;32413;10803.55
28;2541;24400;21082.26
29;7683;8187;24215.61
30;17076;9381;18777.2
